iter	Passed	Remaining
0	24	19398
1	52	20568
2	79	20770
3	107	20917
4	133	20819
5	166	21526
6	193	21447
7	218	21153
8	249	21414
9	286	22128
10	311	21831
11	342	22008
12	368	21769
13	406	22323
14	442	22620
15	478	22914
16	521	23453
17	556	23612
18	586	23569
19	617	23507
20	696	25236
21	794	27457
22	850	28059
23	915	28926
24	957	28997
25	1000	29105
26	1055	29512
27	1097	29556
28	1145	29733
29	1185	29718
30	1235	29928
31	1294	30349
32	1323	30046
33	1367	30074
34	1411	30115
35	1445	29955
36	1490	30019
37	1524	29853
38	1552	29581
39	1579	29294
40	1599	28906
41	1621	28573
42	1648	28327
43	1679	28168
44	1710	28017
45	1738	27812
46	1769	27674
47	1811	27704
48	1855	27759
49	1886	27614
50	1917	27486
51	1949	27362
52	1982	27265
53	2021	27251
54	2060	27236
55	2112	27389
56	2162	27508
57	2201	27483
58	2242	27482
59	2284	27488
60	2318	27398
61	2360	27415
62	2390	27286
63	2433	27300
64	2464	27184
65	2491	27034
66	2520	26898
67	2546	26741
68	2568	26539
69	2595	26402
70	2623	26269
71	2644	26075
72	2672	25952
73	2696	25798
74	2724	25679
75	2749	25538
76	2773	25390
77	2798	25255
78	2824	25136
79	2847	24983
80	2873	24872
81	2907	24818
82	2940	24767
83	2968	24663
84	2991	24527
85	3017	24422
86	3043	24313
87	3066	24186
88	3087	24041
89	3113	23937
90	3139	23839
91	3162	23719
92	3184	23591
93	3203	23447
94	3361	24311
95	3420	24445
96	3466	24477
97	3538	24694
98	3580	24700
99	3627	24741
100	3663	24701
101	3697	24647
102	3732	24608
103	3758	24504
104	3785	24407
105	3812	24316
106	3846	24265
107	3872	24170
108	3896	24058
109	3917	23933
110	3955	23910
111	3989	23865
112	4038	23909
113	4079	23906
114	4121	23905
115	4168	23930
116	4199	23868
117	4227	23788
118	4259	23733
119	4290	23667
120	4335	23683
121	4375	23672
122	4403	23594
123	4441	23567
124	4478	23539
125	4506	23463
126	4537	23403
127	4566	23334
128	4593	23250
129	4619	23170
130	4649	23103
131	4676	23028
132	4700	22934
133	4723	22842
134	4749	22763
135	4775	22682
136	4799	22595
137	4826	22524
138	4855	22462
139	4878	22372
140	4906	22305
141	4933	22234
142	4967	22198
143	4990	22108
144	5014	22030
145	5037	21943
146	5073	21915
147	5111	21895
148	5145	21859
149	5169	21779
150	5192	21700
151	5224	21652
152	5246	21569
153	5269	21487
154	5299	21437
155	5328	21381
156	5356	21324
157	5388	21280
158	5418	21231
159	5448	21182
160	5476	21122
161	5502	21059
162	5537	21027
163	5572	21000
164	5609	20977
165	5628	20888
166	5659	20841
167	5682	20768
168	5701	20679
169	5731	20632
170	5759	20577
171	5782	20506
172	5801	20424
173	5825	20355
174	5847	20281
175	5867	20204
176	5887	20124
177	5905	20039
178	5933	19989
179	5959	19930
180	5983	19866
181	6005	19797
182	6027	19729
183	6051	19668
184	6072	19594
185	6094	19530
186	6123	19484
187	6152	19438
188	6177	19382
189	6200	19318
190	6220	19248
191	6242	19184
192	6271	19139
193	6300	19095
194	6325	19041
195	6351	18991
196	6393	18984
197	6412	18913
198	6433	18848
199	6456	18789
200	6476	18720
201	6496	18653
202	6515	18582
203	6537	18522
204	6559	18461
205	6584	18410
206	6605	18348
207	6638	18320
208	6660	18261
209	6683	18203
210	6704	18143
211	6728	18091
212	6749	18030
213	6775	17984
214	6804	17945
215	6832	17903
216	6856	17852
217	6877	17793
218	6897	17732
219	6915	17665
220	6935	17604
221	6950	17533
222	6968	17468
223	6987	17406
224	7009	17352
225	7031	17297
226	7057	17254
227	7077	17197
228	7097	17140
229	7113	17073
230	7133	17015
231	7153	16957
232	7177	16910
233	7202	16866
234	7222	16811
235	7242	16754
236	7264	16704
237	7285	16651
238	7307	16601
239	7325	16544
240	7346	16492
241	7365	16435
242	7387	16386
243	7409	16337
244	7476	16386
245	7509	16361
246	7535	16322
247	7559	16277
248	7580	16227
249	7600	16173
250	7622	16126
251	7654	16098
252	7680	16058
253	7709	16026
254	7737	15990
255	7760	15944
256	7782	15897
257	7804	15851
258	7830	15812
259	7851	15763
260	7872	15714
261	7903	15686
262	7947	15683
263	7972	15643
264	7994	15596
265	8018	15555
266	8047	15521
267	8074	15485
268	8107	15461
269	8130	15417
270	8155	15378
271	8181	15339
272	8209	15305
273	8251	15297
274	8283	15270
275	8315	15244
276	8342	15208
277	8368	15171
278	8388	15123
279	8414	15085
280	8439	15046
281	8463	15006
282	8489	14968
283	8517	14936
284	8542	14896
285	8576	14873
286	8596	14826
287	8619	14784
288	8640	14739
289	8664	14698
290	8686	14656
291	8710	14616
292	8732	14574
293	8757	14536
294	8779	14493
295	8802	14452
296	8833	14424
297	8866	14401
298	8903	14382
299	8937	14359
300	8972	14337
301	8996	14298
302	9019	14257
303	9049	14228
304	9079	14200
305	9104	14162
306	9120	14111
307	9153	14086
308	9176	14046
309	9208	14020
310	9235	13987
311	9261	13952
312	9290	13920
313	9320	13891
314	9352	13865
315	9376	13827
316	9400	13789
317	9424	13751
318	9452	13719
319	9486	13696
320	9510	13658
321	9541	13630
322	9565	13593
323	9590	13556
324	9617	13523
325	9638	13481
326	9660	13442
327	9683	13403
328	9704	13362
329	9728	13324
330	9760	13298
331	9788	13268
332	9816	13235
333	9842	13201
334	9862	13160
335	9881	13116
336	9897	13069
337	9917	13027
338	9939	12988
339	9961	12949
340	9992	12923
341	10021	12893
342	10046	12858
343	10071	12823
344	10091	12782
345	10112	12742
346	10129	12698
347	10153	12662
348	10176	12625
349	10202	12593
350	10242	12577
351	10278	12555
352	10317	12538
353	10346	12509
354	10375	12479
355	10402	12447
356	10432	12419
357	10456	12384
358	10488	12358
359	10524	12336
360	10557	12311
361	10582	12277
362	10609	12246
363	10634	12211
364	10659	12178
365	10694	12155
366	10726	12129
367	10761	12106
368	10796	12083
369	10830	12059
370	10861	12032
371	10900	12013
372	10930	11985
373	10964	11961
374	10992	11930
375	11020	11899
376	11048	11869
377	11072	11834
378	11106	11809
379	11142	11787
380	11174	11761
381	11207	11736
382	11237	11706
383	11265	11676
384	11298	11650
385	11332	11626
386	11365	11600
387	11391	11567
388	11418	11535
389	11440	11499
390	11466	11466
391	11510	11451
392	11552	11435
393	11598	11421
394	11631	11395
395	11665	11370
396	11692	11338
397	11728	11315
398	11761	11290
399	11791	11261
400	11828	11238
401	11860	11211
402	11887	11179
403	11913	11146
404	11942	11116
405	11972	11087
406	11999	11056
407	12039	11036
408	12085	11022
409	12118	10995
410	12150	10967
411	12192	10949
412	12233	10930
413	12287	10922
414	12327	10901
415	12355	10870
416	12397	10851
417	12435	10829
418	12464	10798
419	12510	10782
420	12539	10752
421	12567	10721
422	12593	10687
423	12618	10654
424	12653	10628
425	12687	10602
426	12719	10575
427	12749	10545
428	12781	10517
429	12810	10486
430	12836	10453
431	12864	10423
432	12912	10407
433	13024	10443
434	13059	10417
435	13104	10399
436	13163	10392
437	13206	10372
438	13237	10342
439	13268	10313
440	13304	10287
441	13337	10259
442	13373	10233
443	13405	10205
444	13434	10174
445	13459	10140
446	13493	10112
447	13525	10083
448	13551	10050
449	13581	10020
450	13608	9987
451	13643	9961
452	13672	9929
453	13709	9904
454	13740	9874
455	13777	9849
456	13807	9819
457	13836	9788
458	13864	9756
459	13893	9725
460	13920	9693
461	13948	9661
462	13980	9632
463	14010	9601
464	14039	9571
465	14079	9547
466	14113	9519
467	14143	9489
468	14170	9457
469	14211	9434
470	14239	9402
471	14268	9371
472	14292	9336
473	14328	9310
474	14360	9281
475	14398	9255
476	14439	9233
477	14480	9209
478	14514	9181
479	14547	9153
480	14592	9131
481	14621	9100
482	14648	9068
483	14684	9041
484	14716	9011
485	14745	8980
486	14792	8960
487	14825	8931
488	14861	8904
489	14896	8877
490	14930	8848
491	14961	8818
492	14995	8790
493	15036	8766
494	15069	8737
495	15107	8711
496	15138	8681
497	15156	8643
498	15185	8612
499	15215	8581
500	15248	8552
501	15285	8525
502	15301	8487
503	15325	8453
504	15348	8418
505	15370	8384
506	15396	8351
507	15426	8320
508	15456	8289
509	15476	8254
510	15500	8220
511	15521	8185
512	15545	8151
513	15566	8116
514	15584	8079
515	15602	8043
516	15625	8009
517	15650	7976
518	15678	7945
519	15704	7912
520	15727	7878
521	15749	7844
522	15768	7809
523	15789	7774
524	15810	7739
525	15836	7707
526	15865	7676
527	15898	7648
528	15923	7615
529	15950	7584
530	15980	7554
531	16010	7523
532	16041	7493
533	16086	7470
534	16122	7443
535	16161	7417
536	16200	7391
537	16239	7364
538	16273	7336
539	16326	7316
540	16366	7290
541	16401	7262
542	16436	7234
543	16463	7202
544	16499	7174
545	16532	7145
546	16569	7118
547	16597	7087
548	16639	7061
549	16666	7030
550	16696	6999
551	16729	6970
552	16757	6939
553	16775	6903
554	16797	6870
555	16827	6839
556	16853	6807
557	16874	6773
558	16897	6740
559	16923	6708
560	16947	6676
561	16977	6646
562	17017	6619
563	17059	6593
564	17092	6564
565	17124	6534
566	17163	6508
567	17198	6479
568	17236	6452
569	17267	6422
570	17305	6394
571	17335	6364
572	17358	6331
573	17385	6300
574	17420	6271
575	17453	6242
576	17486	6212
577	17527	6186
578	17560	6156
579	17589	6126
580	17619	6095
581	17652	6066
582	17689	6038
583	17723	6009
584	17752	5978
585	17781	5947
586	17810	5916
587	17844	5887
588	17874	5857
589	17909	5828
590	17942	5798
591	17970	5767
592	18000	5737
593	18032	5707
594	18066	5678
595	18102	5649
596	18131	5618
597	18166	5589
598	18195	5558
599	18223	5527
600	18250	5496
601	18283	5466
602	18313	5436
603	18338	5404
604	18369	5374
605	18397	5343
606	18428	5312
607	18457	5282
608	18487	5251
609	18515	5220
610	18537	5187
611	18566	5157
612	18582	5123
613	18614	5093
614	18639	5061
615	18665	5029
616	18691	4998
617	18728	4970
618	18762	4940
619	18806	4913
620	18842	4885
621	18879	4856
622	18914	4827
623	18958	4800
624	18990	4770
625	19018	4739
626	19051	4709
627	19083	4679
628	19113	4649
629	19142	4618
630	19169	4587
631	19196	4556
632	19223	4525
633	19257	4495
634	19288	4465
635	19323	4435
636	19351	4405
637	19381	4374
638	19414	4344
639	19444	4314
640	19482	4285
641	19511	4254
642	19539	4223
643	19564	4192
644	19592	4161
645	19621	4130
646	19637	4097
647	19664	4066
648	19690	4035
649	19718	4004
650	19746	3973
651	19779	3943
652	19814	3914
653	19842	3883
654	19862	3851
655	19897	3821
656	19926	3791
657	19967	3762
658	20013	3735
659	20046	3705
660	20075	3674
661	20100	3643
662	20127	3612
663	20154	3581
664	20176	3549
665	20199	3518
666	20226	3487
667	20259	3457
668	20287	3426
669	20309	3394
670	20366	3369
671	20394	3338
672	20436	3309
673	20467	3279
674	20504	3250
675	20534	3219
676	20567	3189
677	20599	3159
678	20632	3129
679	20663	3099
680	20706	3070
681	20737	3040
682	20764	3009
683	20798	2979
684	20826	2949
685	20853	2918
686	20886	2888
687	20917	2857
688	20954	2828
689	20981	2797
690	21010	2766
691	21036	2735
692	21060	2704
693	21086	2673
694	21113	2643
695	21151	2613
696	21177	2582
697	21216	2553
698	21241	2522
699	21266	2491
700	21291	2460
701	21318	2429
702	21351	2399
703	21381	2368
704	21408	2338
705	21435	2307
706	21463	2276
707	21491	2246
708	21623	2226
709	21686	2199
710	21740	2171
711	21790	2142
712	21825	2112
713	21859	2081
714	21901	2052
715	21948	2023
716	21994	1993
717	22027	1963
718	22053	1932
719	22079	1901
720	22115	1871
721	22143	1840
722	22180	1810
723	22217	1779
724	22250	1749
725	22281	1718
726	22318	1688
727	22352	1658
728	22377	1626
729	22406	1596
730	22432	1565
731	22456	1533
732	22480	1502
733	22504	1471
734	22530	1440
735	22551	1409
736	22575	1378
737	22600	1347
738	22622	1316
739	22652	1285
740	22675	1254
741	22707	1224
742	22743	1193
743	22784	1163
744	22833	1134
745	22867	1103
746	22893	1072
747	22923	1041
748	22950	1011
749	22980	980
750	23007	949
751	23042	919
752	23068	888
753	23088	857
754	23116	826
755	23142	795
756	23167	765
757	23205	734
758	23247	704
759	23284	674
760	23314	643
761	23347	612
762	23374	582
763	23406	551
764	23437	520
765	23474	490
766	23505	459
767	23531	428
768	23558	398
769	23592	367
770	23626	337
771	23658	306
772	23686	275
773	23710	245
774	23734	214
775	23760	183
776	23787	153
777	23814	122
778	23842	91
779	23873	61
780	23908	30
781	23940	0
